"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant"
"ENSSSCT00000065013.3",2.39199016544524,3.54919848187835,-7.5561346180326,3.43096918522421e-07,0.00806925894275697,6.50640441144478,"ENSSSCT00000065013.3","ENSSSCG00000016773","ZNF212","ZNF212","Significant"
"ENSSSCT00000044319.3",1.93070411784184,10.4432278463771,-7.05322537376059,9.27245741726705e-07,0.00806925894275697,5.88112551986837,"ENSSSCT00000044319.3","ENSSSCG00000033146","CD163","CD163","Significant"
"ENSSSCT00000052418.3",1.75168413146841,5.59849586754034,-6.97091269597868,1.0946563037044e-06,0.00806925894275697,5.69823190472795,"ENSSSCT00000052418.3","ENSSSCG00000022940","G3BP2","G3BP2","Significant"
"ENSSSCT00000008988.6",1.61331607082111,6.31026683661964,-6.74125873257193,1.74777097981505e-06,0.0103069550221653,5.27544929492755,"ENSSSCT00000008988.6","ENSSSCG00000008207","RPIA","RPIA","Significant"
"ENSSSCT00000066649.2",1.40351147950236,5.26374958512667,-6.63822227538144,2.16098776266242e-06,0.0106198141949773,5.06129441133801,"ENSSSCT00000066649.2","ENSSSCG00000008573","RAB10","RAB10","Significant"
"ENSSSCT00000037329.3",-1.63632169117425,4.79836119711299,6.34455148564116,3.98745123342719e-06,0.012584110416314,4.4667574592064,"ENSSSCT00000037329.3","ENSSSCG00000017289","DDX42","DDX42","Significant"
"ENSSSCT00000051232.2",1.97654500394106,5.57114946988211,-6.29515064596318,4.42517431100269e-06,0.012584110416314,4.38822603843241,"ENSSSCT00000051232.2","ENSSSCG00000012642","STAG2","STAG2","Significant"
"ENSSSCT00000019312.5",-1.63229140495725,4.63151498385772,6.29879731463897,4.39123356293238e-06,0.012584110416314,4.38089066220299,"ENSSSCT00000019312.5","ENSSSCG00000017744","SUZ12","SUZ12","Significant"
"ENSSSCT00000006862.4",1.41211751050578,4.72903721461956,-6.21117232248372,5.28616704127764e-06,0.012584110416314,4.20647065204744,"ENSSSCT00000006862.4","ENSSSCG00000006263","ATP6V1H","ATP6V1H","Significant"
"ENSSSCT00000009164.5",1.92930635455994,5.99452739401425,-6.19371773782234,5.48577653870525e-06,0.012584110416314,4.1874835275571,"ENSSSCT00000009164.5","ENSSSCG00000025751","MDH1","MDH1","Significant"
"ENSSSCT00000067593.2",2.64732409115167,4.79274520717793,-6.18839530189065,5.5481732148166e-06,0.012584110416314,4.10169945869196,"ENSSSCT00000067593.2","ENSSSCG00000011226","TGFBR2","TGFBR2","Significant"
"ENSSSCT00000000644.5",2.80869732810381,3.97260539985249,-6.22587339347525,5.12384717857815e-06,0.012584110416314,4.06075067057846,"ENSSSCT00000000644.5","ENSSSCG00000000599","DERA","DERA","Significant"
"ENSSSCT00000039712.3",1.47656414441016,8.42512549220478,-6.03866277776627,7.63786201445714e-06,0.0126354368628628,3.87300078100947,"ENSSSCT00000039712.3","ENSSSCG00000012365","MSN","MSN","Significant"
"ENSSSCT00000081233.3",2.90257682953045,4.67097867808473,-6.0192279592911,7.96306216410942e-06,0.0126354368628628,3.80790105790984,"ENSSSCT00000081233.3","ENSSSCG00000031616","FOSB","FOSB","Significant"
"ENSSSCT00000012944.5",1.80920164452754,3.90661124831699,-5.9333927422669,9.57854749570474e-06,0.0126354368628628,3.63703994158826,"ENSSSCT00000012944.5","ENSSSCG00000024109","BDH1","BDH1","Significant"
"ENSSSCT00000067261.1",1.92852118973225,3.2671416489659,-5.97546036930877,8.74852671081529e-06,0.0126354368628628,3.6301550907412,"ENSSSCT00000067261.1","ENSSSCG00000011361","SLC26A6","SLC26A6","Significant"
"ENSSSCT00000055554.3",-1.52561122606384,5.43002764069566,5.91836389240866,9.89431507479383e-06,0.0126354368628628,3.62912757474963,"ENSSSCT00000055554.3","ENSSSCG00000000958","DYRK2","DYRK2","Significant"
"ENSSSCT00000070341.2",1.94801107193819,5.49236138755694,-5.90484750701747,1.01874257415652e-05,0.0126354368628628,3.59969089330058,"ENSSSCT00000070341.2","ENSSSCG00000015214","STT3A","STT3A","Significant"
"ENSSSCT00000083467.2",-2.08302478094877,5.33711871819841,5.87110262350583,1.0958727681357e-05,0.0126354368628628,3.53205597871405,"ENSSSCT00000083467.2","ENSSSCG00000010301","PPP3CB","PPP3CB","Significant"
"ENSSSCT00000048377.3",1.9217355977179,4.66979815008924,-5.86401758762421,1.11281387323601e-05,0.0126354368628628,3.51140639363136,"ENSSSCT00000048377.3","ENSSSCG00000039769","SPIRE1","SPIRE1","Significant"
"ENSSSCT00000065757.3",-1.75359372357437,5.55733604668562,5.85608585619454,1.13209855986299e-05,0.0126354368628628,3.50159827812484,"ENSSSCT00000065757.3","ENSSSCG00000034167","","ENSSSCG00000034167","Significant"
"ENSSSCT00000094034.1",1.46783257366816,5.83290402594943,-5.83860544779522,1.17581879128447e-05,0.0126354368628628,3.46443642376873,"ENSSSCT00000094034.1","ENSSSCG00000001011","SERPINB1","SERPINB1","Significant"
"ENSSSCT00000106049.1",1.88229488796375,6.76883483923953,-5.81696030623074,1.23236493822589e-05,0.0126354368628628,3.41794834469612,"ENSSSCT00000106049.1","ENSSSCG00000014924","CTSC","CTSC","Significant"
"ENSSSCT00000051251.1",-2.31841737142684,3.97293925276762,5.78473445609402,1.32176672833159e-05,0.0126354368628628,3.31024555940534,"ENSSSCT00000051251.1","ENSSSCG00000035730","ZDHHC21","ZDHHC21","Significant"
